Kanji,Hiragana,English
歓迎,かんげい,"welcome,reception"
角,すみ,horn
一人一人,ひとりひとり,"one by one,each,one at a time"
過ごす,すごす,"to pass,to spend,to go through,to tide over"
用いる,もちいる,"to use,to make use of"
飽きる,あきる,"to get tired of,to lose interest in,to have enough"
不可,ふか,"wrong,bad,improper,unjustifiable,inadvisable"
,ヨーロッパ,Europe
しまい,（終わり）,sisters
評価,ひょうか,"valuation,estimation,assessment,evaluation"
覚悟,かくご,"resolution,resignation,readiness,preparedness"
異常,いじょう,"strangeness,abnormality,disorder"
高速,こうそく,"high speed,high gear"
時刻,じこく,"instant,time,moment"
利口,りこう,"clever,shrewd,bright,sharp,wise,intelligent"
骨,ほね,bone
長期,ちょうき,long time period
,ですから,therefore
生,なま,"(1) draft (beer),(2) raw,unprocessed"
相当,そうとう,"suitable,fair,tolerable,proper"
粗,あら,"defect,flaw,blemish,weak point"
全,ぜん,"all,whole,entire,complete,overall,pan"
共に,ともに,"sharing with,participate in"
夕べ,ゆうべ,evening
急速,きゅうそく,rapid (e.g. progress)
学,がく,"learning,scholarship,erudition,knowledge"
一方,いっぽう,"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn"
逆らう,さからう,"to go against,to oppose,to disobey,to defy"
違い,ちがい,"difference,discrepancy"
だが,だが,
助手,じょしゅ,"helper,helpmeet,assistant,tutor"
減る,へる,"to decrease (in size or number),to diminish,to abate"
鍋,なべ,"saucepan,pot"
預ける,あずける,"to give into custody,to entrust,to deposit"
気味,きみ,"-like,-looking,-looked"
連れ,つれ,"companion,company"
全然,ぜんぜん,"(1) wholly,entirely,completely,(2) not at all (with neg. verb)"
入場,にゅうじょう,"entrance,admission,entering"
自殺,じさつ,suicide
塵,ごみ,"dust,dirt"
希望,きぼう,"hope,wish,aspiration"
油,あぶら,oil
交際,こうさい,"company,friendship,association,society,acquaintance"
頬,ほほ,cheek (of face)
膝,ひざ,"knee,lap"
悲しむ,かなしむ,"to be sad,to mourn for,to regret"
,レポート,"report,paper"
生まれ,うまれ,"birth,birth-place"
裏切る,うらぎる,"to betray,to turn traitor to,to double-cross"
一般,いっぱん,"general,liberal,universal,ordinary,average"
岩,いわ,"rock,crag"
濡れる,ぬれる,to get wet
描く,えがく,"to draw,to paint,to sketch,to depict,to describe"
四,し,four
,しばしば,"often,again and again,frequently"
玉,たま,"ball,sphere,coin"
貧しい,まずしい,"poor,needy"
覚ます,さます,to awaken
苦手,にがて,"poor (at),weak (in),dislike (of)"
未だ,まだ,"yet,still,more,besides"
哲学,てつがく,philosophy
渋滞,じゅうたい,"congestion (e.g. traffic),delay,stagnation"
退屈,たいくつ,"tedium,boredom"
,ホーム,"(1) platform,(2) home"
眺め,ながめ,"scene,view,prospect,outlook"
日曜,にちよう,Sunday
外す,はずす,"to unfasten,to remove"
航空,こうくう,"aviation,flying"
国境,こっきょう,national or state border
金額,きんがく,amount of money
印刷,いんさつ,printing
,いただきます,expression of gratitude before meals
散歩,さんぽ,"walk,stroll"
銀,ぎん,"(1) silver,silver coin,silver paint"
責める,せめる,"to condemn,to blame,to criticize"
一番,いちばん,"best,first,number one"
財産,ざいさん,"property,fortune,assets"
部分,ぶぶん,"portion,section,part"
親戚,しんせき,relative
絶滅,ぜつめつ,"destruction,extinction"
,メンバー,member
金銭,きんせん,"money,cash"
張る,はる,"to stick,to paste"
貰う,もらう,to receive
独立,どくりつ,"independence (e.g. Ind. Day),self-support"
素晴らしい,すばらしい,"wonderful,splendid,magnificent"
,まあ,(female) you might say
最中,さいちゅう,in the middle of
人類,じんるい,"mankind,humanity"
係,かかり,"official,duty,person in charge"
性,せい,"sex,gender"
,うるさい,"noisy,loud,fussy"
始まり,はじまり,"origin,beginning"
勧める,すすめる,"to recommend,to advise,to encourage,to offer (wine)"
ノー,（no）,
学習,がくしゅう,"study,learning"
氷,こおり,"ice,hail"
,インク,ink
世間,せけん,"world,society"
先日,せんじつ,"the other day,a few days ago"
契約,けいやく,"contract,compact,agreement"
硬貨,こうか,coin
消費,しょうひ,"consumption,expenditure"
底,そこ,"bottom,sole"
発行,はっこう,issue (publications)
濠,ほり,moat
,トンネル,tunnel
,そっと,face of the earth
盛り,さかり,"helping,serving"
,ハンサム,handsome
所為,せい,"cause,reason,fault"
結ぶ,むすぶ,"to tie,to bind,to link"
要素,ようそ,element
墓,はか,"grave,tomb"
農民,のうみん,"farmers,peasants"
穏やか,おだやか,"calm,gentle,quiet"
運動,うんどう,"motion,exercise"
決心,けっしん,"determination,resolution"
約,やく,"approximately,about,some"
凍る,こおる,"to freeze,to be frozen over,to congeal"
しまう,（終わる）,"to finish,to close,to do something completely"
家具,かぐ,furniture
,マスター,"proprietor,manager,barowner,master (e.g. arts, science)"
繋ぐ,つなぐ,"to tie,to fasten,to connect,to transfer (phone call)"
科目,かもく,"(school) subject,curriculum,course"
善,ぜん,"good,goodness,right,virtue"
時,とき,"(1) time,hour,(2) occasion,moment"
月曜,げつよう,Monday
作家,さっか,"author,writer,novelist,artist"
外出,がいしゅつ,"outing,going out"
残り,のこり,"remnant,residue,remaining,left-over"
現れ,あらわれ,"embodiment,materialization"
資本,しほん,"funds,capital"
失う,うしなう,"to lose,to part with"
流行,りゅうこう,"fashionable,fad,in vogue,prevailing"
読書,どくしょ,reading
見送り,みおくり,"seeing one off,farewell,escort"
,そっくり,"all,altogether,entirely,be just like,the splitting image of"
才能,さいのう,"talent,ability"
緊張,きんちょう,"tension,mental strain,nervousness"
演技,えんぎ,"acting,performance"
語,ご,"language,word"
明確,めいかく,"clear up,clarify,define"
粉,こな,"flour,meal,powder"
母親,ははおや,mother
したがって,したがって,"therefore,consequently,in accordance with"
作業,さぎょう,"work,operation,manufacturing,fatigue duty"
,たっぷり,"full,in plenty,ample"
癖,くせ,"a habit (often a bad habit),peculiarity"
課,か,counter for chapters (of a book)
生物,せいぶつ,raw food
分野,ぶんや,"field,sphere,realm,division,branch"
煙,けむり,"smoke,fumes"
人物,じんぶつ,"character,personality,person,man,personage,talented man"
患者,かんじゃ,a patient
検査,けんさ,"inspection (e.g. customs, factory),examination"
,パスポート,passport
,だって,"but,because,even,also,too"
額,がく,"forehead,brow"
通す,とおす,"to let pass,to overlook,to continue"
何とか,なんとか,"somehow,anyhow,one way or another"
苦労,くろう,"troubles,hardships"
,ドラマ,drama
大いに,おおいに,"very,much,greatly"
物理,ぶつり,physics
成人,せいじん,adult
衝突,しょうとつ,"collision,conflict"
,バイオリン,violin
感情,かんじょう,"emotion(s),feeling(s),sentiment"
加減,かげん,"addition and subtraction,allowance for"
,ママ,Mama
地位,ちい,"(social) position,status"
お互い,おたがい,"mutual,reciprocal,each other"
牛,うし,"cattle,cow"
操作,そうさ,"operation,management,processing"
石炭,せきたん,coal
,ピン,pin
境,さかい,"border,boundary,mental state"
直接,ちょくせつ,"direct,immediate,personal,firsthand"
,コーチ,coach
,それでも,"but (still),and yet,nevertheless,even so,notwithstanding"
褒める,ほめる,"to praise,to admire,to speak well"
家事,かじ,"housework,domestic chores"
積もる,つもる,to pile up
何でも,なんでも,"by all means,everything"
計算,けいさん,"calculation,reckoning"
設計,せっけい,"plan,design"
器用,きよう,"skillful,handy"
級,きゅう,"class, grade, rank,school class, grade"
平和,へいわ,"peace,harmony"
注,ちゅう,"annotation,explanatory note"
,どうか,copper coin
手品,てじな,"sleight of hand,conjuring trick,magic,juggling"
性格,せいかく,"character,personality"
者,もの,person
環境,かんきょう,"environment,circumstance"
打つ,ぶつ,"to hit,to strike"
会合,かいごう,"meeting,assembly"
,ドレス,dress
,ビール,beer
句,く,sentence
,ちょうだい,"(1) please do for me (preceded by -te),(2) reception,being given,get"
週,しゅう,week
詩人,しじん,poet
方法,ほうほう,"method,manner,way,means,technique"
乗せる,のせる,"to place on (something),to take on board,to give a ride"
腐る,くさる,"to rot,to go bad"
すると,すると,"thereupon,hereupon"
或,ある,"a certain...,some..."
証明,しょうめい,"proof,verification"
地,ち,earth
,パイロット,pilot
結局,けっきょく,"after all,eventually"
不平,ふへい,"complaint,discontent,dissatisfaction"
愛情,あいじょう,"love,affection"
学問,がくもん,"scholarship,study,learning"
沈む,しずむ,"to sink,to feel depressed"
,ジュース,"juice,soft drink,deuce"
向かい,むかい,"facing,opposite,across the street,other side"
裸,はだか,"naked,nude"
,エンジン,engine
梅雨,つゆ,"rainy season,rain during the rainy season"
商品,しょうひん,"commodity,article of commerce,goods,stock,merchandise"
陽気,ようき,"season,weather,cheerfulness"
空き,あき,"room,time to spare,emptiness"
猿,さる,monkey
軒,のき,eaves
混雑,こんざつ,"confusion,congestion"
音,おん,"sound,note"
消防,しょうぼう,"fire fighting,fire department"
続き,つづき,"sequel,continuation"
日中,にっちゅう,"daytime,broad daylight"
多分,たぶん,"perhaps,probably"
熱中,ねっちゅう,"nuts!,enthusiasm,zeal,mania"
作法,さほう,"manners,etiquette,propriety"
方々,かたがた,"persons,this and that,here and there,everywhere"
戦い,たたかい,"battle,fight,struggle,conflict"
,いけない,"must not do,bad,wrong,not good"
,いらっしゃい,welcome
離婚,りこん,divorce
勘,かん,"perception,intuition,the sixth sense"
徐々に,じょじょに,"slowly,little by little,gradually,steadily,quietly"
等,など,"et cetera,etc.,and the like"
何か,なにか,something
食卓,しょくたく,dining table
大部分,だいぶぶん,"most part,greater part,majority"
,なお,"straight,mischief,ordinary,common"
命じる,めいじる,"to order,to command,to appoint"
街,まち,"(1) town,(2) street,road"
署名,しょめい,signature
税金,ぜいきん,"tax,duty"
夫人,ふじん,"wife,Mrs,madam"
調子,ちょうし,"tune,tone,key"
屋根,やね,roof
劇場,げきじょう,"theatre,playhouse"
,サイン,"(1) autograph,(2) sign,(3) sine"
,コピー,"(1) a (photo)copy,(2) blurb on a book jacket"
丘,おか,"hill,height,knoll,rising ground"
この,この,this
不足,ふそく,"insufficiency,shortage,deficiency,lack,dearth"
俳優,はいゆう,"actor,actress,player,performer"
突然,とつぜん,"abruptly,suddenly,unexpectedly,all at once"
認める,みとめる,"to recognize,to appreciate,to approve,to admit,to notice"
場,ば,"place,field (physics)"
柄,え,"handle,grip"
制限,せいげん,"restriction,restraint,limitation"
販売,はんばい,"sale,selling,marketing"
答案,とうあん,"examination paper,examination script"
候補,こうほ,candidacy
辞める,やめる,to retire
,とにかく,"anyhow,at any rate,anyway,somehow or other,generally speaking,in any case"
注文,ちゅうもん,"order,request"
代理,だいり,"representation,agency,proxy,deputy,agent"
巣,す,"nest,rookery,breeding place,beehive,cobweb"
物価,ぶっか,"prices of commodities,prices (in general)"
,きちんと,"precisely,accurately"
現れる,あらわれる,"(1) to appear,to come in sight,to become visible,(2) to express oneself"
嫁,よめ,"bride,daughter-in-law"
優勝,ゆうしょう,"overall victory,championship"
どれ,どれ,"well,now,let me see,which (of three or more)"
節約,せつやく,"economising,saving"
述べる,のべる,"to state,to express,to mention"
従兄弟,いとこ,cousin (male)
報告,ほうこく,"report,information"
図書,としょ,books
貴重,きちょう,"precious,valuable"
引用,いんよう,"quotation,citation"
,スター,star
状態,じょうたい,"condition,situation,circumstances,state"
発表,はっぴょう,"announcement,publication"
人種,じんしゅ,race (of people)
悪魔,あくま,"devil,demon,evil spirit"
破る,やぶる,"to tear,to violate,to defeat,to smash,to destroy"
,びっくり,"be surprised,be amazed,be frightened,astonishment"
大した,たいした,"considerable,great,important,significant,a big deal"
飛び出す,とびだす,"to jump out,to rush out,to fly out"
範囲,はんい,"extent,scope,sphere,range"
一体,いったい,"(1) one object,one body,(2) what on earth?,really?,(3) generally"
布,ぬの,cloth
失望,しつぼう,"disappointment,despair"
苦しむ,くるしむ,"to suffer,to groan,to be worried"
基本,きほん,"foundation,basis,standard"
年齢,ねんれい,"age,years"
記録,きろく,"record,minutes,document"
,エネルギー,(n) energy (de: Energie)
金持ち,かねもち,rich man
円,まる,"circle,money"
丸い,まるい,"round,circular,spherical"
合わせる,あわせる,"to join together,to be opposite,to face,to unite"
影,かげ,"shade,shadow,other side"
平ら,たいら,"flatness,level,smooth,calm,plain"
知恵,ちえ,"wisdom,wit,sagacity,sense,intelligence,advice"
日光,にっこう,sunlight
上,うわ,"upper,outer,surface"
,ヨット,yacht
質,しつ,"quality,nature (of person)"
別に,べつに,"(not) particularly,nothing"
掴む,つかむ,"to seize,to catch,to grasp"
温暖,おんだん,warmth
違いない,ちがいない,"(phrase) sure,no mistaking it,for certain"
取り上げる,とりあげる,"to take up,to pick up,to disqualify,to confiscate,to deprive"
無事,ぶじ,"safety,peace,quietness"
主婦,しゅふ,"housewife,mistress"
目的,もくてき,"purpose,goal,aim,objective,intention"
選択,せんたく,"selection,choice"
組,くみ,"class,group,team,set"
縦,たて,"length,height"
連続,れんぞく,"serial,consecutive,continuity,continuing"
通過,つうか,"passage through,passing"
立場,たちば,"standpoint,position,situation"
極,ごく,"quite,very"
再び,ふたたび,"again,once more,a second time"
主要,しゅよう,"chief,main,principal,major"
道徳,どうとく,morals
面,めん,"face,mug,surface,facial features,mask,face guard,side or facet,corner,page"
党,とう,party (political)
回り,まわり,"circumference,surroundings,circulation"
風呂,ふろ,bath
夜中,よなか,"midnight,dead of night"
出会い,であい,"meeting,rendezvous,encounter"
幸い,さいわい,"happiness,blessedness"
誕生,たんじょう,birth
現す,あらわす,"to show,to indicate,to display"
嫌う,きらう,"to hate,to dislike,to loathe"
叱る,しかる,to scold
詰める,つめる,"to pack,to shorten,to work out (details)"
城,しろ,castle
改善,かいぜん,"betterment,improvement"
番,ばん,
比較,ひかく,comparison
登山,とざん,mountain-climbing
,アイスクリーム,ice cream
配達,はいたつ,"delivery,distribution"
事件,じけん,"event,affair,incident"
機能,きのう,"function,faculty"
常識,じょうしき,common sense
金庫,きんこ,"safe,vault,treasury,provider of funds"
地域,ちいき,"area,region"
限界,げんかい,"limit,bound"
だから,だから,"so,therefore"
地下,ちか,"basement,underground"
豪華,ごうか,"wonderful,gorgeous,splendor,pomp,extravagance"
青年,せいねん,"youth,young man"
囲む,かこむ,"to surround,to encircle"
表,ひょう,"table (e.g. Tab 1),chart,list"
付ける,つける,"to attach,to join,to add,to append"
行き,ゆき,going
率,りつ,"rate,ratio,proportion,percentage"
関心,かんしん,"concern,interest"
,あらゆる,"all,every"
万一,まんいち,"by some chance,by some possibility,if by any chance,10E4:1 odds"
訳,やく,"meaning,reason,circumstances,can be deduced,situation"
,ブレーキ,a brake
住民,じゅうみん,"citizens,inhabitants,residents,population"
急激,きゅうげき,"sudden,precipitous,radical"
物音,ものおと,sounds
便り,たより,"news,tidings,information,correspondence,letter"
両替,りょうがえ,"change,money exchange"
敵,てき,"enemy,rival"
求める,もとめる,"to seek,to request,to demand,to want,to wish for,to search for,to pursue (pleasure),to hunt (a job),"
練習,れんしゅう,practice
交換,こうかん,"exchange,interchange,reciprocity"
害,がい,"injury,harm,evil influence,damage"
博物館,はくぶつかん,museum
栄養,えいよう,"nutrition,nourishment"
抜く,ぬく,"to extract,to omit,to surpass,to draw out,to unplug"
相続,そうぞく,"succession,inheritance"
贈る,おくる,"to send,to give to,to award to,to confer on"
炎,ほのお,flame
為る,する,"to change,to be of use,to reach to"
苦痛,くつう,"pain,agony"
単に,たんに,"simply,merely,only,solely"
試す,ためす,"to attempt,to test"
ね,（感）,"value,price,cost,worth,merit"
偶,たま,"even number,couple,man and wife,friend"
そこ,そこ,"bottom,sole"
詳しい,くわしい,"knowing very well,detailed,full,accurate"
挨拶,あいさつ,"greeting,salutation"
とん,（1000,ton
達する,たっする,"to reach,to get to"
信じる,しんじる,"to believe,to place trust in"
,キロ,"(abbr) kilo-,kilogram,kilometre,10^3"
越える,こえる,"to exceed,to cross over,to cross"
灯,ひ,light
,マイク,mike
,こんなに,"so,like this,in this way"
,すなわち,"that is,namely,i.e."
酒,さけ,"alcohol,sake"
椅子,いす,chair
差別,さべつ,"discrimination,distinction,differentiation"
自慢,じまん,"pride,boast"
お目に掛かる,おめにかかる,
ジェット機,ジェットき,jet aeroplane
乗客,じょうきゃく,passenger
切れる,きれる,"(1) to cut well,to be sharp,(2) to break (off)"
加わる,くわわる,"to join in,to accede to,to increase,to gain in (influence)"
望む,のぞむ,"to desire,to wish for,to see,to command (a view of)"
笛,ふえ,"flute,pipe"
発車,はっしゃ,departure of a vehicle
批判,ひはん,"criticism,judgement,comment"
伺う,うかがう,"(hon) to visit,to ask,to inquire"
松,まつ,"(1) pine tree,(2) highest (of a three-tier ranking system)"
魅力,みりょく,"charm,fascination,glamour"
出来事,できごと,"incident,affair,happening,event"
恐ろしい,おそろしい,"terrible,dreadful"
,アウト,out
幼い,おさない,"very young,childish"
整理,せいり,"sorting,arrangement,adjustment,regulation"
,ゲーム,game
組む,くむ,to put together
日本,にほん,Japan
事態,じたい,"situation,present state of affairs"
主に,おもに,"mainly,primarily"
谷,たに,valley
確認,かくにん,"affirmation,confirmation"
今に,いまに,"before long,even now"
地区,ちく,"district,section,sector"
涙,なみだ,tear
案内,あんない,"information,guidance,leading"
一時,いちじ,"moment,time"
天候,てんこう,weather
途端,とたん,"just (now, at the moment, etc.)"
小包,こづつみ,"parcel,package"
減らす,へらす,"to abate,to decrease,to diminish,to shorten"
名人,めいじん,"master,expert"
生じる,しょうじる,"to produce,to yield,to result from,to arise,to be generated"
正直,しょうじき,"honesty,integrity,frankness"
訪問,ほうもん,"call,visit"
収める,おさめる,"to obtain,to reap,to pay,to supply,to accept"
食品,しょくひん,"commodity,foodstuff"
支給,しきゅう,"payment,allowance"
行儀,ぎょうぎ,manners
,スタンド,stand
,ドライブ,"drive,trip by car,driving"
明らか,あきらか,"obvious,evident,clear"
末,すえ,"the end of,powder"
休暇,きゅうか,"holiday,day off,furlough"
回す,まわす,"to turn,to revolve"
本物,ほんもの,genuine article
損害,そんがい,"damage,injury,loss"
貢献,こうけん,"contribution,services"
身体,しんたい,the body
,じゃあ,"well,well then"
起こる,おこる,"to occur,to happen"
女優,じょゆう,actress
先ず,まず,"first (of all),to start with,about,almost,hardly (with neg. verb)"
保証,ほしょう,"guarantee,security,assurance,pledge,warranty"
宝石,ほうせき,"gem,jewel"
,ケース,case
近頃,ちかごろ,"lately,recently,nowadays"
就く,つく,"to settle in (place),to take (seat, position),to study (under teacher)"
住宅,じゅうたく,"resident,housing"
動詞,どうし,verb
後,うしろ,"afterwards,since then,in the future"
意識,いしき,"consciousness,senses"
爆発,ばくはつ,"explosion,detonation,eruption"
組織,そしき,"(1) organization,(2) structure,construction,(3) tissue,(4) system"
生き物,いきもの,"living thing,animal"
,パス,"path,pass (in games)"
,タオル,(hand) towel
宜しい,よろしい,"(hon) good,OK,all right,fine,very well,will do,may,can"
,パーセント,percent
奪う,うばう,to snatch away
貸し,かし,"loan,lending"
豊か,ゆたか,"abundant,wealthy,plentiful,rich"
祝う,いわう,"to congratulate,to celebrate"
氏,し,"family name,lineage,birth"
思想,しそう,"thought,idea"
記者,きしゃ,reporter
二十,はたち,"20 years old,20th year"
霧,きり,"fog,mist"
働き,はたらき,"work,labor"
予防,よぼう,"prevention,precaution,protection against"
食物,しょくもつ,"food,foodstuff"
平等,びょうどう,"equality (a),impartiality,evenness"
,ミス,"miss (mistake, error, failure),Miss"
,なにも,nothing
専攻,せんこう,"major subject,special study"
人気,にんき,sign of life
,それとも,"or,or else"
限る,かぎる,"to restrict,to limit,to confine"
単なる,たんなる,"mere,simple,sheer"
,スケート,"skate(s),skating"
缶,かん,"can,tin"
周囲,しゅうい,"surroundings,circumference,environs"
舞台,ぶたい,stage (theatre)
月,つき,"moon,month"
友情,ゆうじょう,"friendship,fellowship"
物語,ものがたり,"tale,story,legend"
できる,（可能。出現。発生）,"to be able to,to be ready,to occur"
石油,せきゆ,"oil,petroleum,kerosene"
寧ろ,むしろ,"rather,better,instead"
関する,かんする,"to concern,to be related"
図,ず,"figure (e.g. Fig 1),drawing,picture,illustration"
手術,しゅじゅつ,surgical operation
一瞬,いっしゅん,"a moment,an instant"
左右,さゆう,"(1) left and right,(2) influence,control,domination"
灰,はい,ash
,あちこち,here and there
畑,はたけ,field
,ダイヤ,"(1) dyer,(2) diagram,(3) (railway) schedule,(4) diamond"
株,かぶ,"share,stock,stump (of tree)"
示す,しめす,"to denote,to show,to point out,to indicate"
孫,まご,grandchild
基づく,もとづく,"to be grounded on,to be based on,to be due to,to originate from"
広告,こうこく,advertisement
幕,まく,"curtain,bunting,act (in play)"
現在,げんざい,"present,up to now,nowadays,modern times,current"
実行,じっこう,"practice,performance,execution (e.g. program),realization"
寄付,きふ,"contribution,donation"
武器,ぶき,"weapon,arms,ordinance"
不自由,ふじゆう,"discomfort,disability,inconvenience,destitution"
見解,けんかい,"opinion,point of view"
真面目,まじめ,"diligent,serious,honest"
隠す,かくす,"to hide,to conceal"
支配,しはい,"rule,control,direction"
表面,ひょうめん,"surface,outside,face,appearance"
父親,ちちおや,father
相手,あいて,"companion,partner,company"
真っ直ぐ,まっすぐ,"straight (ahead),direct,upright"
,かなり,"considerably,fairly,quite"
観客,かんきゃく,"audience,spectator(s)"
取れる,とれる,"to come off,to be taken off,to be removed"
抱える,かかえる,to hold or carry under or in the arms
,ばったり,"with a clash (thud),with a bang,plump,flop"
医師,いし,"doctor,physician"
方々,ほうぼう,"persons,this and that,here and there,everywhere"
順,じゅん,"order,turn"
勢い,いきおい,"force,vigor,energy,spirit"
事,こと,"thing,matter,fact,circumstances"
数,すう,"number,figure"
機械,きかい,"machine,mechanism"
毛布,もうふ,blanket
瓶,びん,bottle
敬意,けいい,"respect,honour"
支える,ささえる,"to be blocked,to choke,to be obstructed"
命令,めいれい,"order,command,decree,directive,(software) instruction"
誤り,あやまり,error
