Kanji,Hiragana,English
一旦,いったん,"once,for a moment,one morning,temporarily"
,おだいじに,Take care of yourself
誓う,ちかう,"to swear,to vow,to take an oath,to pledge"
中旬,ちゅうじゅん,second third of a month
賞金,しょうきん,"prize,monetary award"
回数券,かいすうけん,book of tickets
直通,ちょくつう,direct communication
金魚,きんぎょ,goldfish
卸す,おろす,"to sell wholesale,grated (vegetables)"
性能,せいのう,"ability,efficiency"
順々,じゅんじゅん,"in order,in turn"
,レンズ,lens
産地,さんち,producing area
酢,す,vinegar
水蒸気,すいじょうき,"water vapour,steam"
稀,まれ,"rare,seldom"
,すっきり,"shapely,clear,neat"
両側,りょうがわ,both sides
,ポスター,poster
便箋,びんせん,"writing paper,stationery"
日陰,ひかげ,shadow
圧縮,あっしゅく,"compression,condensation,pressure"
超える,こえる,"to exceed,to cross over,to cross"
体操,たいそう,"gymnastics,physical exercises,calisthenics"
,そのほか,otherwise
無数,むすう,"countless number,infinite number"
御免,ごめん,"your pardon,declining (something),dismissal,permission"
跳ねる,はねる,"to jump,to leap"
突き当たる,つきあたる,"to run into,to collide with"
真空,しんくう,"vacuum,hollow,empty"
待ち合わせる,まちあわせる,"to rendezvous,to meet at a prearranged place and time"
出勤,しゅっきん,"going to work,at work"
標識,ひょうしき,"sign,mark"
手帳,てちょう,notebook
対策,たいさく,"counter-plan,counter-measure"
散らす,ちらす,"to scatter,to disperse,to distribute"
だいいち,（副）,"first,foremost,# 1"
,おまちどおさま,Sorry to have kept you waiting
園芸,えんげい,"horticulture,gardening"
重量,じゅうりょう,"(1) weight,(2) heavyweight boxer"
案外,あんがい,unexpectedly
代名詞,だいめいし,pronoun
公表,こうひょう,"official announcement,proclamation"
射す,さす,"to shine,to strike"
稽古,けいこ,"practice,training,study"
活躍,かつやく,activity
崩す,くずす,"to destroy,to pull down,to make change (money)"
見慣れる,みなれる,"to become used to seeing,to be familiar with"
広場,ひろば,plaza
薬缶,やかん,kettle
学級,がっきゅう,grade in school
下る,くだる,"to get down,to descend"
,おしゃれ,"smartly dressed,someone smartly dressed,fashion-conscious"
内線,ないせん,"phone extension,indoor wiring,inner line"
雑音,ざつおん,"noise (jarring, grating)"
下町,したまち,"Shitamachi,lower parts of town"
建つ,たつ,"to erect,to be erected,to be built"
定期券,ていきけん,"commuter pass,season ticket"
王女,おうじょ,princess
けれど/けれども,,"but,however"
神様,かみさま,god
遠足,えんそく,"trip,hike,picnic"
要旨,ようし,"gist,essentials,summary,fundamentals"
,きっかけ,"chance,start,cue,excuse"
大学院,だいがくいん,graduate school
車庫,しゃこ,"garage,car shed"
,のろのろ,"slowly,sluggishly"
職人,しょくにん,"worker,mechanic,artisan,craftsman"
消毒,しょうどく,"disinfection,sterilization"
炊事,すいじ,"cooking,culinary arts"
不運,ふうん,"unlucky,misfortune,bad luck,fate"
寝台,しんだい,"bed,couch"
汲む,くむ,"(1) to draw (water),to dip,to scoop,to pump"
,カーブ,"(1) curve,(2) curve ball (baseball)"
物騒,ぶっそう,"dangerous,disturbed,insecure"
日程,にってい,agenda
仲良し,なかよし,"intimate friend,bosom buddy,chum"
区切る,くぎる,"to punctuate,to cut off,to mark off,to stop,to put an end to"
測量,そくりょう,"measurement,surveying"
,サークル,"circle,sports club (i.e. at a company)"
,うんと,"a great deal,very much"
思い掛けない,おもいがけない,"unexpected,casual"
公害,こうがい,"public nuisance,pollution"
,スクール,school
反省,はんせい,"reflection,reconsideration,introspection,meditation,contemplation"
初級,しょきゅう,elementary level
扇ぐ,あおぐ,"to fan,to flap"
具える,そなえる,to be furnished with
足袋,たび,"tabi,Japanese socks (with split toe)"
膨大,ぼうだい,"huge,bulky,enormous,extensive,swelling,expansion"
拭く,ふく,"to wipe,to dry"
,じゃんけん,(n) rock-scissors-paper game
,オルガン,organ
寿命,じゅみょう,life span
瓦,かわら,roof tile
,ブローチ,brooch
空想,くうそう,"daydream,fantasy,fancy,vision"
照る,てる,to shine
農村,のうそん,"agricultural community,farm village,rural"
転がす,ころがす,to roll
浮ぶ,うかぶ,"to float,to rise to surface,to come to mind"
寝間着,ねまき,"sleep-wear,nightclothes,pyjamas,nightgown,nightdress"
丼,どんぶり,"porcelain bowl,bowl of rice with food on top"
南極,なんきょく,"south pole,Antarctic"
散らかる,ちらかる,"to be in disorder,to lie scattered around"
揚げる,あげる,"to lift,to fry"
中世,ちゅうせい,"Middle Ages,mediaeval times"
肘,ひじ,elbow
統一,とういつ,"unity,consolidation,uniformity"
随筆,ずいひつ,"essays,miscellaneous writings"
,ストップ,stop
,ダイヤル,dial
座布団,ざぶとん,cushion (Japanese)
北極,ほっきょく,North Pole
実る,みのる,"to bear fruit,to ripen"
面積,めんせき,area
破片,はへん,"fragment,splinter,broken piece"
,まごまご,confused
税関,ぜいかん,customs house
作る/造る,つくる,"to make,to create"
,リポート,"report,paper"
杉,すぎ,Japanese cedar
潰す,つぶす,"to smash,to waste"
捕る,とる,"to take,to catch (fish),to capture"
近々,ちかぢか,"nearness,before long"
,モダン,modern
,ちぎる,"to cut up fine,to pick (fruit)"
客間,きゃくま,"parlor,guest room"
逆様,さかさま,"inversion,upside down"
清掃,せいそう,cleaning
実感,じっかん,"feelings (actual, true)"
並行,へいこう,"(going) side by side,concurrent,abreast,at the same time"
安易,あんい,easy-going
円周,えんしゅう,circumference
田ぼ,たんぼ,"paddy field,farm"
突く,つく,"(1) to thrust,to strike,(2) to poke"
友好,ゆうこう,friendship
活字,かつじ,printing type
蛇口,じゃぐち,"faucet,tap"
狙い,ねらい,aim
,コース,course
本来,ほんらい,"essentially,naturally,by nature"
未満,みまん,"less than,insufficient"
振舞う,ふるまう,"to behave,to conduct oneself,to entertain (vt)"
送り仮名,おくりがな,part of word written in kana
日帰り,ひがえり,day trip
,わりあいに,comparatively
,ぶつかる,"to strike,to collide with"
,こんばんは,good evening
鉄砲,てっぽう,gun
敷く,しく,"to spread out,to lay out"
賞品,しょうひん,"prize,trophy"
受取,うけとり,receipt
,うっかり,"carelessly,thoughtlessly,inadvertently"
洗剤,せんざい,"detergent,washing material"
錆びる,さびる,"to rust,to become rusty"
鉱物,こうぶつ,mineral
,くれぐれも,"repeatedly,sincerely,earnestly"
刺さる,ささる,"to stick,to be stuck"
船便,ふなびん,surface mail (ship)
真っ先,まっさき,"the head,the foremost,beginning"
手洗い,てあらい,"restroom,lavatory,hand-washing"
人差指,ひとさしゆび,index finger
現に,げんに,"actually,really"
電球,でんきゅう,light bulb
枕,まくら,"pillow,bolster"
,ともかく,"anyhow,anyway,somehow or other,generally speaking,in any case"
貸家,かしや,house for rent
一休み,ひとやすみ,a rest
,マラソン,marathon
正方形,せいほうけい,square
捜す,さがす,"to search,to seek,to look for"
経度,けいど,longitude
専制,せんせい,"despotism,autocracy"
,しゃぶる,"to suck,to chew"
付近,ふきん,"neighbourhood,vicinity,environs"
水滴,すいてき,drop of water
挿す,さす,"to insert,to put in,to graft,to wear in belt"
被せる,かぶせる,to cover (with something)
,ローマじ,"romanization,Roman letters"
突っ込む,つっこむ,"to plunge into,to go into deeply"
引っ繰り返る,ひっくりかえる,"to be overturned,to be upset,to topple over,to be reversed"
濁る,にごる,"to become muddy,to get impure"
改める,あらためる,"to change,to alter,to reform,to revise"
承る,うけたまわる,"(hum) to hear,to be told,to know"
隙間,すきま,"crevice,crack,gap,opening"
糊,のり,"paste,starch"
石鹸,せっけん,soap
全身,ぜんしん,"the whole body,full-length (portrait)"
送料,そうりょう,"postage,carriage"
気を付ける,きをつける,"to be careful,to pay attention,to take care"
刺す,さす,"to pierce,to stab,to prick,to thrust"
予備,よび,"preparation,preliminaries,reserve,spare"
侵入,しんにゅう,"penetration,invasion,raid,aggression,trespass"
広める,ひろめる,"to broaden,to propagate"
西暦,せいれき,"Christian Era,anno domini (A.D.)"
全集,ぜんしゅう,complete works
為替,かわせ,"money order,exchange"
堀,ほり,"moat,canal"
冷ます,さます,"to cool,to dampen,to let cool"
攻める,せめる,"to attack,to assault"
著す,あらわす,"to write,to publish"
四捨五入,ししゃごにゅう,rounding up (fractions)
競馬,けいば,horse racing
勇ましい,いさましい,"brave,valiant,gallant,courageous"
平日,へいじつ,"weekday,ordinary days"
鑑賞,かんしょう,appreciation
氏名,しめい,"full name,identity"
分解,ぶんかい,"analysis,disassembly"
回り道,まわりみち,detour
,はめる,"(col) to get in,to insert,to put on,to make love"
的確,てきかく,"precise,accurate"
冷める,さめる,"to become cool,to wear off,to abate,to subside"
流行る,はやる,"to flourish,to thrive,to be popular,to come into fashion"
停止,ていし,"suspension,interruption,stoppage,ban"
合理,ごうり,rational
,キャンパス,campus
,テニスコート,tennis court
銘々,めいめい,"each,individual"
乗車,じょうしゃ,"taking a train,entraining"
文体,ぶんたい,literary style
郡,ぐん,"country,district"
,ランニング,"(1) running,(2) tank top"
刷る,する,to print
蹴る,ける,to kick
塞ぐ,ふさぐ,"to stop up,to close up,to block (up)"
草履,ぞうり,"zoori (Japanese footwear),sandals"
空中,くうちゅう,"sky,air"
縞,しま,stripe
大して,たいして,"(not so) much,(not) very"
月日,つきひ,"time,years,days"
紙幣,しへい,"paper money,notes,bills"
尖る,とがる,"to taper to a point,to become sharp,to be sour,to look displeased"
売買,ばいばい,"trade,buying and selling"
,スカーフ,scarf
銅,どう,copper
,おどかす,"to threaten,to coerce"
,でたらめ,"(1) irresponsible utterance,nonsense,nonsensical,(2) random"
反映,はんえい,"reflection,influence"
教養,きょうよう,"culture,education,refinement,cultivation"
増減,ぞうげん,"increase and decrease,fluctuation"
養分,ようぶん,"nourishment,nutrient"
,ためらう,to hesitate
名物,めいぶつ,"famous product,special product,speciality"
歌謡,かよう,"song,ballad"
湿気,しっけ,"moisture,humidity,dampness"
覗く,のぞく,"to peep in,to look in,to peek in,to stick out"
血液,けつえき,blood
幼児,ようじ,"infant,baby,child"
問答,もんどう,"questions and answers,dialogue"
箒,ほうき,(n) broom
長女,ちょうじょ,eldest daughter
分る,わかる,to be understood
削る,けずる,"to cut down little by little,to take a percentage"
材木,ざいもく,"lumber,timber"
妥当,だとう,"valid,proper,right,appropriate"
巡る,めぐる,to go around
目上,めうえ,"superior(s),senior"
表紙,ひょうし,"front cover,binding"
本部,ほんぶ,headquarters
瞳,ひとみ,pupil (of eye)
小遣い,こづかい,"personal expenses,pocket money,spending money,incidental expenses,allowance"
,ぴかぴか,"glitter,sparkle"
加熱,かねつ,heating
文房具,ぶんぼうぐ,stationery
,もしかしたら,"perhaps,maybe,by some chance"
,ゴム,"gum,rubber,eraser"
可決,かけつ,"approval,adoption (e.g. motion, bill),passage"
生け花,いけばな,(1) flower arrangement
荒い,あらい,"rough,rude,wild"
小便,しょうべん,"(col) urine,piss"
帰す,かえす,to send back
,よこす,"(1) to send,to forward,(2) to hand over (e.g. money)"
酸性,さんせい,acidity
,オーケストラ,orchestra
垣根,かきね,hedge
南米,なんべい,South America
御馳走,ごちそう,"feast,treating (someone)"
電柱,でんちゅう,"telephone pole,telegraph pole,lightpole"
逆さ,さかさ,"reverse,inversion,upside down"
,ひとりでに,"by itself,automatically,naturally"
白髪,しらが,"white or grey hair,trendy hair bleaching"
綱,つな,rope
,こらえる,"to bear,to stand,to endure,to put up with"
売店,ばいてん,"shop,stand"
陽射,ひざし,"sunlight,rays of the sun"
,まぶた,eyelids
親類,しんるい,"relation,kin"
勝敗,しょうはい,"victory or defeat,issue (of battle)"
伯父さん,おじさん,"middle-aged gentleman,uncle"
髭,ひげ,"moustache,beard,whiskers"
,マスク,mask
腰掛ける,こしかける,to sit (down)
纏める,まとめる,"to put in order,to collect,to bring to a conclusion"
御中,おんちゅう,"and Company,Messrs."
,マンション,"large apartment,apartment house"
貸し出し,かしだし,"lending,loaning"
,おおざっぱ,"rough (not precise),broad,sketchy"
題名,だいめい,title
雑巾,ぞうきん,"house-cloth,dust cloth"
浴衣,ゆかた,"bathrobe,informal summer kimono,yukata"
,ずらす,"to put off,to delay"
武士,ぶし,"warrior,samurai"
,ぶらさげる,"to hang,to suspend,to dangle,to swing"
寸法,すんぽう,"measurement,size,dimension"
床屋,とこや,barber
,バランス,balance
必需品,ひつじゅひん,"necessities,necessary article,requisite,essential"
書籍,しょせき,"book,publication"
目印,めじるし,"mark,sign,landmark"
中身,なかみ,"contents,interior,substance,filling,(sword) blade"
朗らか,ほがらか,"brightness,cheerfulness,melodious"
灯台,とうだい,lighthouse
比較的,ひかくてき,"comparatively,relatively"
形式,けいしき,"form,formality,format,math expression"
特長,とくちょう,"forte,merit"
複数,ふくすう,"plural,multiple"
全般,ぜんぱん,"(the) whole,universal,wholly,general"
造船,ぞうせん,shipbuilding
看板,かんばん,"sign,signboard,doorplate,poster"
歯車,はぐるま,"gear,cog-wheel"
断定,だんてい,"conclusion,decision"
,あきれる,"to be amazed,to be shocked"
人通り,ひとどおり,pedestrian traffic
日の出,ひので,sunrise
大工,だいく,carpenter
悔やむ,くやむ,to mourn
埋める,うめる,"to bury,to fill up,to fill (a seat, a vacant position)"
,インキ,ink
剥す,はがす,"(v5s) to tear off,to peel off,to rip off"
,ヘリコプター,helicopter
執筆,しっぴつ,writing
英和,えいわ,English-Japanese (e.g. dictionary)
文芸,ぶんげい,"literature,art and literature,belles-lettres"
保健,ほけん,"health preservation,hygiene,sanitation"
分かれる,わかれる,"to branch off,to diverge from,to fork,to split,to dispense,to scatter,to divide into"
蛍光灯,けいこうとう,"fluorescent lamp,person who is slow to react"
,スピーカー,speaker
増やす,ふやす,"to increase,to add to,to augment"
娯楽,ごらく,"pleasure,amusement"
椀,わん,"Japanese soup bowl,wooden bowl"
,メーター,meter (clock)
領事,りょうじ,consul
毛糸,けいと,knitting wool
向う,むかう,"(v5u) to face,to go towards"
,ベテラン,veteran
畳む,たたむ,to fold (clothes)
分数,ぶんすう,fraction (in math)
応用,おうよう,"application,put to practical use"
只,ただ,"free of charge,mere,sole,only,usual,common"
運河,うんが,"canal,waterway"
郵送,ゆうそう,mailing
将棋,しょうぎ,Japanese chess
実習,じっしゅう,"practice,training"
,なんとも,"nothing (with neg. verb),quite,not a bit"
兼ねる,かねる,"to hold (position),to serve,to be unable"
余所,よそ,"another place,somewhere else,strange parts"
,ばね,"spring (e.g. coil, leaf)"
対照,たいしょう,"contrast,antithesis,comparison"
作者,さくしゃ,"author,authoress"
,ロッカー,locker
,やかましい,"(1) noisy,(2) strict,fussy"
炭鉱,たんこう,"coal mine,coal pit"
役者,やくしゃ,"actor,actress"
再来週,さらいしゅう,week after next
掘る,ほる,"to dig,to excavate"
方言,ほうげん,dialect
為す,なす,"to accomplish,to do"
写る,うつる,"to be photographed,to be projected"
,なんとなく,"somehow or other,for some reason or another"
,とっくに,"long ago,already,a long time ago"
打合せ,うちあわせ,"business meeting,previous arrangement,appointment"
塞がる,ふさがる,"to be plugged up,to be shut up"
枚数,まいすう,the number of flat things
縫う,ぬう,to sew
顕微鏡,けんびきょう,microscope
生える,はえる,"(1) to grow,to spring up,(2) to cut (teeth)"
固まる,かたまる,"to harden,to solidify,to become firm,to become certain"
引っ繰り返す,ひっくりかえす,"to turn over,to overturn,to knock over,to upset,to turn inside out"
,あらすじ,"outline,summary"
通り掛かる,とおりかかる,to happen to pass by
循環,じゅんかん,"circulation,rotation,cycle"
教わる,おそわる,to be taught
,チップ,"(1) gratuity,tip,(2) chip"
鳴らす,ならす,"to ring,to sound,to chime,to beat,to snort (nose)"
英文,えいぶん,sentence in English
,イコール,equal
碗,わん,bowl
一昨年,いっさくねん,year before last
公務,こうむ,"official business,public business"
蒸気,じょうき,"steam,vapour"
,ペンチ,(abbr) pliers (lit: pinchers)
縛る,しばる,"to tie,to bind"
締切,しめきり,"closing,cut-off,end,deadline,Closed,No Entrance"
撮影,さつえい,photographing
絞る,しぼる,"to press,to wring,to squeeze"
剃る,そる,to shave
構造,こうぞう,"structure,construction"
偉い,えらい,"great,celebrated,eminent,terrible,awful,famous,remarkable,excellent"
酔っ払い,よっぱらい,drunkard
煙突,えんとつ,chimney
缶詰,かんづめ,"packing (in cans),canning,canned goods,tin can"
公正,こうせい,"justice,fairness,impartiality"
漁業,ぎょぎょう,fishing (industry)
,ずうずうしい,"impudent,shameless"
有無,うむ,"yes or no,existence,flag indicator (comp),presence or absence marker"
観測,かんそく,observation
診る,みる,to examine (medical)
写生,しゃせい,"sketching,drawing from nature"
叔母さん,おばさん,"(1) aunt,(2) middle-aged lady"
学会,がっかい,"scientific society,academic meeting"
心得る,こころえる,"to be informed,to have thorough knowledge"
見下ろす,みおろす,"to overlook,to command a view of,to look down on something"
果実,かじつ,"fruit,nut,berry."
浮かべる,うかべる,"to float,to express,to look (sad, glad)"
淡水,たんすい,fresh water
特色,とくしょく,"characteristic,feature"
上る,のぼる,"to ascend,to go up,to climb"
年度,ねんど,"year,fiscal year,school year,term"
,すくなくとも,at least
,しあさって,two days after tomorrow
,しゃっくり,"hiccough,hiccup"
話し掛ける,はなしかける,"to accost a person,to talk (to someone)"
伝わる,つたわる,"to be handed down,to be introduced,to be transmitted"
乾燥,かんそう,"dry,arid,insipid,dehydrated"
火傷,やけど,"burn,scald"
,ダイヤモンド,diamond
御無沙汰,ごぶさた,not writing or contacting for a while
夜行,やこう,"walking around at night,night train,night travel"
真っ暗,まっくら,"total darkness,shortsightedness,pitch dark"
井戸,いど,water well
じゅうたん,（カーペット）,carpet
寒帯,かんたい,frigid zone
個所,かしょ,"passage,place,point,part"
境界,きょうかい,boundary
言付ける,ことづける,"to send word,to send a message"
新幹線,しんかんせん,"bullet train (very high speed),shinkansen"
,こぼれる,"to overflow,to spill"
反る,かえる,"to warp,to be warped,to curve"
雨戸,あまど,sliding storm door
,ビニール,vinyl
解放,かいほう,"release,liberation,emancipation"
外科,げか,surgical department
幼稚,ようち,"infancy,childish,infantile"
湿度,しつど,level of humidity
無沙汰,ぶさた,neglecting to stay in contact
概論,がいろん,"intro,outline,general remarks"
温泉,おんせん,"spa,hot spring,onsen"
手続き,てつづき,"procedure,(legal) process,formalities"
知合い,しりあい,acquaintance
障子,しょうじ,paper sliding door
山林,さんりん,"mountain forest,mountains and forest"
果して,はたして,"as was expected,really"
着せる,きせる,to put on clothes
身分,みぶん,"social position,social status"
大小,だいしょう,size
休息,きゅうそく,"rest,relief,relaxation"
捩る,ねじる,to twist
定価,ていか,established price
坊さん,ぼうさん,"Buddhist priest,monk"
停車,ていしゃ,stopping (e.g. train)
機関車,きかんしゃ,"locomotive,engine"
回答,かいとう,"reply,answer"
公衆,こうしゅう,the public
祖先,そせん,ancestor
羨む,うらやむ,to envy
,おねがいします,please
売り切れる,うりきれる,to be sold out
,おやすみ,"(1) holiday,absence,rest,(2) (exp) Good night"
移転,いてん,"moving,transfer,demise"
司会,しかい,chairmanship
物置,ものおき,storage room
休業,きゅうぎょう,"closed (e.g. store),business suspended,shutdown,holiday"
,コンセント,"(1) consent,(2) concentric"
短編,たんぺん,"short (e.g. story, film)"
碁,ご,Go (board game of capturing territory)
戸棚,とだな,"cupboard,locker,closet,wardrobe"
人命,じんめい,(human) life
,おめでたい,"happy event,matter for congratulation,auspicious event,pregnancy"
立ち止まる,たちどまる,"to stop,to halt,to stand still"
苦心,くしん,"pain,trouble"
用語,ようご,"term,terminology"
終了,しゅうりょう,"end,close,termination"
挟む,はさむ,"to interpose,to hold between,to insert"
物語る,ものがたる,"to tell,to indicate"
診断,しんだん,diagnosis
分類,ぶんるい,classification
,あいまい,"vague,ambiguous"
宣伝,せんでん,"propaganda,publicity"
,こぼす,to spill
有難い,ありがたい,"grateful,thankful,welcome,appreciated,evoking gratitude"
頼もしい,たのもしい,"reliable,trustworthy,hopeful,promising"
出入り,でいり,"in and out,coming and going,free association,income and expenditure,debits and credit"
,ウーマン,woman
,プラットホーム,platform
仕上がる,しあがる,to be finished
芯,しん,"core,heart,wick,marrow"
,だらしない,"slovenly,loose,a slut"
茂る,しげる,"to grow thick,to luxuriate,to be luxurious"
,いつのまにか,"before one knows,unnoticed,unawares"
先程,さきほど,some time ago
吹雪,ふぶき,snow storm
憎い,にくい,"hateful,abominable,poor-looking,detestable"
恩恵,おんけい,"grace,favor,blessing,benefit"
統計,とうけい,"scattering,a scatter,dispersion"
水筒,すいとう,"canteen,flask,water bottle"
輸送,ゆそう,"transport,transportation"
当日,とうじつ,"appointed day,very day"
,うどん,noodles (Japanese)
原料,げんりょう,raw materials
耕す,たがやす,"to till,to plow,to cultivate"
遭う,あう,"to meet,to encounter (undesirable nuance)"
判子,はんこ,seal (used for signature)
面接,めんせつ,interview
散る,ちる,"to fall,to scatter (e.g. blossoms)"
,ステージ,"(1) stage,(2) performance"
見本,みほん,sample
道順,みちじゅん,"itinerary,route"
満点,まんてん,perfect score
公式,こうしき,"formula,formality,official"
貝,かい,"shell,shellfish"
,ぎっしり,"tightly,fully"
寄せる,よせる,"to collect,to gather,to add,to put aside"
普及,ふきゅう,"diffusion,spread"
乗換,のりかえ,"(n) transfer (trains, buses, etc.)"
崩れる,くずれる,"to collapse,to crumble"
都心,としん,heart (of city)
見付ける,みつける,"to be familiar,to discover,to detect"
,ぶつける,"to knock,to run into,to nail on,to strike hard,to hit and attack"
再来年,さらいねん,year after next
,やたらに,"randomly,recklessly,blindly"
中性,ちゅうせい,"neuter gender,neutral (chem.),indifference,sterility"
,プログラム,program
,シーツ,sheet
,やっぱり,"also,as I thought,still,in spite of,absolutely,of course"
,カロリー,calorie
出来上がる,できあがる,"(1) to be finished,to be ready,by definition,(2) to be very drunk"
,アイデア/アイディア,idea
純粋,じゅんすい,"pure,true,genuine,unmixed"
特定,とくてい,"specific,special,particular"
,たんす,chest of drawers
量る,はかる,"to measure,to weigh,to survey"
領収,りょうしゅう,"receipt,voucher"
並木,なみき,"roadside tree,row of trees"
継続,けいぞく,continuation
軟らかい,やわらかい,"soft,tender,limp"
下旬,げじゅん,month (last third of)
代る,かわる,"(v5r,vi) to take the place of,to relieve,to be substituted for"
通勤,つうきん,commuting to work
温室,おんしつ,greenhouse
汚す,よごす,"(1) to disgrace,to dishonour,(2) to pollute,to contaminate,to soil,to make dirty,to stain"
基地,きち,base
正面,しょうめん,"the front,honesty"
引力,いんりょく,gravity
浸ける,つける,"to dip in,to soak"
,アクセント,accent
蝋燭,ろうそく,candle
高級,こうきゅう,"high class,high grade"
,チョーク,"chock,chalk"
皮肉,ひにく,"cynicism,sarcasm"
,ロビー,lobby
外部,がいぶ,"the outside,external"
超過,ちょうか,"excess,being more than"
接する,せっする,"to come in contact with,to connect,to attend,to receive"
送別,そうべつ,"farewell,send-off"
作成,さくせい,"frame,draw up,make,producing"
望遠鏡,ぼうえんきょう,telescope
適確,てきかく,"precise,accurate"
規律,きりつ,"order,rules,law"
更ける,ふける,"to get late,to advance,to wear on"
在る,ある,"to live,to be"
間も無く,まもなく,"soon,before long,in a short time"
孝行,こうこう,filial piety
振り仮名,ふりがな,",pronunciation key"
お帰り,おかえり,"return,welcome"
真っ黒,まっくろ,pitch black
蓋,ふた,"cover,lid,cap"
絵の具,えのぐ,"colors,paints"
,ビルディング,building
女房,にょうぼう,wife
算盤,そろばん,abacus
日時,にちじ,date and time
前後,ぜんご,"around,throughout,front and back,before and behind,before and after"
庖丁,ほうちょう,"kitchen knife,carving knife"
補う,おぎなう,to compensate for
各自,かくじ,"individual,each"
膨らむ,ふくらむ,"to expand,to swell (out),to get big,to become inflated"
思い付く,おもいつく,"to think of,to hit upon"
