Kanji,Hiragana,English
先行,せんこう,"preceding, going first"
冴える,さえる,"to be clear, to be serene, to be cold, to be skillful"
逃げ出す,にげだす,"to run away, to escape from"
本の,ほんの,"mere, only, just"
編,へん,"compilation, editing, completed poem, book, part of book"
留める,とどめる,"to stop, to cease, to put an end to"
当て字,あてじ,"phonetic-equivalent character, substitute character"
団扇,うちわ,fan
浜辺,はまべ,"beach, foreshore"
申し出る,もうしでる,"to report to, to tell, to suggest, to submit, to request, to make an offer, to come forward with informati"
機,はた,loom
歩み,あゆみ,walking
愈々,いよいよ,"more and more, all the more, increasingly, at last, beyond doubt"
,ニュー,new
当て,あて,"object, aim, end, hopes, expectations"
申し入れる,もうしいれる,"to propose, to suggest"
,ゆとり,"reserve, affluence, room, time (to spare)"
危ぶむ,あやぶむ,"to fear, to have misgivings, to be doubtful, to mistrust"
秩序,ちつじょ,"order, regularity, system, method"
五月蝿い,うるさい,"noisy, loud, fussy"
梅干,うめぼし,dried plum
手配,てはい,"arrangement, search (by police)"
自信,じしん,self-confidence
走行,そうこう,"running a wheeled vehicle (e.g. car), traveling"
覆す,くつがえす,"to overturn, to upset, to overthrow, to undermine"
聴講,ちょうこう,"lecture attendance, auditing"
纏まり,まとまり,"conclusion, settlement, consistency"
密集,みっしゅう,"crowd, close formation, dense"
湿気る,しける,"to be damp, to be moist"
連帯,れんたい,solidarity
弛む,たるむ,"to slacken, to loosen, to relax"
恋愛,れんあい,"love, love-making, passion, emotion, affections"
,カムバック,comeback
区々,まちまち,"1. several, various, divergent, conflicting, different, diverse, 2. trivial"
敬具,けいぐ,Sincerely yours
釣鐘,つりがね,hanging bell
差し支える,さしつかえる,"to interfere, to hinder, to become impeded"
設置,せっち,"establishment, institution"
兎角,とかく,"anyhow, anyway, somehow or other, generally speaking, in any case, this and that, many, be apt to"
短歌,たんか,"tanka, 31-syllable Japanese poem"
,いっそ,"rather, sooner, might as well"
先先週,せんせんしゅう,week before last
此れ等,これら,these
実践,じっせん,"practice, put into practice"
判定,はんてい,"judgement, decision, award, verdict"
禁ずる,きんずる,"to forbid, to suppress"
件,くだん,"example, precedent, the usual, the said, the above-mentioned, (man) in question"
冠,かん,"crown, diadem, first, best, peerless, cap, naming, designating, initiating on coming of age, top character ra"
取り締まる,とりしまる,"to manage, to control, to supervise"
荷,に,"load, baggage, cargo"
特集,とくしゅう,"feature (e.g. newspaper), special edition, report"
語句,ごく,"words, phrases"
懐く,なつく,to become emotionally attached
廃棄,はいき,"annullment, disposal, abandon, scrap, discarding, repeal"
掲げる,かかげる,"to publish, to print, to carry (an article), to put up, to hang out, to hoist, to fly (a sail), to float (a"
柱,はしら,"pillar, post"
其れでも,それでも,"but (still), and yet, nevertheless, even so, notwithstanding"
合唱,がっしょう,"chorus, singing in a chorus"
着陸,ちゃくりく,"landing, alighting, touch down"
一概に,いちがいに,"unconditionally, as a rule"
,がっくり,heartbroken
一部,いちぶ,"1. one copy e.g. of a document, 2. a part, partly, some"
干渉,かんしょう,"interference, intervention"
結成,けっせい,formation
大空,おおぞら,"heaven, firmament, the sky"
巻,まき,volume
薄弱,はくじゃく,"feebleness, weakness, weak"
気兼ね,きがね,"hesitance, diffidence, feeling constraint, fear of troubling someone, having scruples about doing someth"
字体,じたい,"type, font, lettering"
採用,さいよう,"use, adopt"
広まる,ひろまる,"to spread, to be propagated"
中毒,ちゅうどく,poisoning
強烈,きょうれつ,"strong, intense, severe"
近付く,ちかづく,"to approach, to get near, to get acquainted with, to get closer"
胴,どう,"trunk, body, frame"
蜂蜜,はちみつ,honey
必修,ひっしゅう,required (subject)
倣,ほう,"imitate, follow, emulate"
痛感,つうかん,"feeling keenly, fully realizing"
幕,とばり,"curtain, bunting, act (in play)"
当たり前,あたりまえ,"usual, common, ordinary, natural, reasonable, obvious"
区切り,くぎり,"an end, a stop, punctuation"
着席,ちゃくせき,"sit down, seat"
酷い,ひどい,"cruel, awful, severe, very bad, serious, terrible, heavy, violent"
一言,いちげん,single word
座標,ざひょう,coordinate(s)
要請,ようせい,"claim, demand, request, application"
,オレンジ,an orange
塾,じゅく,"coaching school, lessons"
教員,きょういん,teaching staff
浴室,よくしつ,"bathroom, bath"
簡素,かんそ,"simplicity, plain"
茶の間,ちゃのま,living room (Japanese style)
絡む,からむ,"to entangle, to entwine"
活ける,いける,to arrange (flowers)
運命,うんめい,fate
踏まえる,ふまえる,"to be based on, to have origin in"
賑わう,にぎわう,"to prosper, to flourish, to do thriving business, to be crowded with people"
歩,ふ,pawn (in chess or shogi)
縁,えん,"chance, fate, destiny, relation, bonds, connection, karma"
宜しく,よろしく,"well, properly, suitably, best regards, please remember me"
微笑,びしょう,smile
英雄,えいゆう,"hero, great man"
延いては,ひいては,"not only...but also, in addition to, consequently"
漏らす,もらす,"to let leak, to reveal"
群,ぐん,group (math)
極楽,ごくらく,paradise
裁く,さばく,to judge
畜生,ちくしょう,"beast, brute, damn"
大ざっぱ,おおざっぱ,"rough (as in not precise), broad, sketchy"
芝,しば,"lawn, sod, turf"
,ジャンボ,jumbo
尉,じょう,"jailer, old man, rank, company officer"
禁物,きんもつ,"taboo, forbidden thing"
等級,とうきゅう,"grade, class"
,ポジション,position
明くる,あくる,"next, following"
吊るす,つるす,to hang
経緯,いきさつ,"1. details, whole story, sequence of events, particulars, how it started, how things got this way, 2. c"
,ライス,rice
入手,にゅうしゅ,"obtaining, coming to hand"
視点,してん,"opinion, point of view, visual point"
遭難,そうなん,"disaster, shipwreck, accident"
沈殿,ちんでん,"precipitation, settlement"
,レギュラー,regular
及ぶ,およぶ,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal"
器,うつわ,"bowl, vessel, container"
墜落,ついらく,"falling, crashing"
読者,どくしゃ,reader
親しむ,したしむ,"to be intimate with, to befriend"
桟橋,さんきょう,"wharf, bridge, jetty, pier"
,じっくり,"deliberately, carefully"
襲撃,しゅうげき,"attack, charge, raid"
斑,ぶち,"spots, speckles, mottles"
対話,たいわ,"interactive, interaction, conversation, dialogue"
宛,あて,addressed to
先代,せんだい,"family predecessor, previous age, previous generation"
映える,はえる,"to shine, to look attractive, to look pretty"
この頃,このごろ,recently
饂飩,うどん,noodles (Japanese)
趣,おもむき,"meaning, tenor, gist, effect, appearance, taste, grace, charm, refinement"
紛れる,まぎれる,"to be diverted, to slip into"
尾,お,"tail, ridge"
田園,でんえん,"country, rural districts"
国産,こくさん,domestic products
両立,りょうりつ,"compatibility, coexistence, standing together"
,カクテル,cocktail
水源,すいげん,"source of river, fountainhead"
一息,ひといき,"puffy, a breath, a pause, an effort"
比重,ひじゅう,specific gravity
手遅れ,ておくれ,"too late, belated treatment"
振動,しんどう,"oscillation, vibration"
収まる,おさまる,"to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered"
甚だ,はなはだ,"very, greatly, exceedingly"
未知,みち,not yet known
,ちょくちょく,"often, frequently, now and then, occasionally"
身近,みぢか,"near oneself, close to one, familiar"
宙返り,ちゅうがえり,"somersault, looping-the-loop"
回送,かいそう,forwarding
役,えき,"war, campaign, battle"
奴,やっこ,"servant, fellow"
襟,えり,"neck, collar, lapel, neckband"
青春,せいしゅん,"youth, springtime of life, adolescent"
嵩張る,かさばる,"to be bulky, to be unwieldy, to grow voluminous"
鼠,ねず,"1. mouse, rat, 2. dark gray, slate color"
潜入,せんにゅう,"infiltration, sneaking in"
貫く,つらぬく,to go through
現像,げんぞう,developing (film)
,アラブ,Arab
育ち,そだち,"breeding, growth"
見渡す,みわたす,"to look out over, to survey (scene), to take an extensive view of"
,インターナショナル,international
給う,たまう,"to receive, to grant"
総会,そうかい,general meeting
遥か,はるか,"far, far-away, distant, remote, far off"
屹度,きっと,"1. (uk) surely, undoubtedly, certainly, without fail, 2. sternly, severely"
上がる,あがる,"to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on,"
貴い,たっとい,"precious, valuable, priceless, noble, exalted, sacred"
其れでは,それでは,"in that situation, well then ..."
確り,しっかり,"firmly, tightly, reliable, level-headed, steady"
封,ふう,seal
家計,かけい,"household economy, family finances"
素っ気ない,そっけない,"cold, short, curt, blunt"
膜,まく,"membrane, film"
切ない,せつない,"painful, trying, oppressive, suffocating"
航海,こうかい,"sail, voyage"
脂肪,しぼう,"fat, grease, blubber"
背負う,しょう,"to be burdened with, to carry on back or shoulder"
退く,しりぞく,"to retreat, to recede, to withdraw"
分離,ぶんり,"separation, detachment, segregation, isolation"
名付ける,なづける,to name (someone)
長編,ちょうへん,long (e.g. novel film)
理屈,りくつ,"theory, reason"
油絵,あぶらえ,oil painting
,キャリア,"career, career government employee"
考古学,こうこがく,archaeology
騒動,そうどう,"strife, riot, rebellion"
退化,たいか,"degeneration, retrogression"
障る,さわる,"to hinder, to interfere with, to affect, to do one harm, to be harmful to"
明朗,めいろう,"bright, clear, cheerful"
退治,たいじ,extermination
児,こ,"child, the young of animals"
何れ,いずれ,"where, which, who, anyway, anyhow, at any rate"
継ぐ,つぐ,to succeed
記名,きめい,"signature, register"
民俗,みんぞく,"people, race, nation, racial customs, folk customs"
乗り換え,のりかえ,transfer (trains buses etc.)
連ねる,つらねる,"to link, to join, to put together"
農地,のうち,agricultural land
主導,しゅどう,main leadership
吐く,つく,"1. to breathe, 2. to tell (lies), 3. to vomit, to disgorge"
,フィルター,(camera) filter
統制,とうせい,"regulation, control"
膳,ぜん,"(small) table, tray, meal"
丸ごと,まるごと,"in its entirety, whole, wholly"
何も,なにも,nothing
予め,あらかじめ,"beforehand, in advance, previously"
僧,そう,"monk, priest"
間違う,まちがう,"to make a mistake, to be incorrect, to be mistaken"
貴女,あなた,"you, lady"
侵略,しんりゃく,"aggression, invasion, raid"
慣習,かんしゅう,usual (historical) custom
揉める,もめる,"to disagree, to dispute"
適宜,てきぎ,suitability
壮大,そうだい,"magnificent, grand, majestic, splendid"
凌ぐ,しのぐ,"to outdo, to surpass, to endure, to keep out (rain), to stave off, to tide over, to pull through, to defy, t"
,レース,"race, lace"
上回る,うわまわる,to exceed
,モニター,(computer) monitor
晴天,せいてん,fine weather
丸々,まるまる,completely
頃,けい,"time, about, toward, approximately (time)"
結合,けつごう,"combination, union"
弟,おと,younger brother
手際,てぎわ,"performance, skill, tact"
根気,こんき,"patience, perseverance, energy"
婿,むこ,son-in-law
問い合わせる,といあわせる,"to enquire, to seek information"
闇,やみ,"darkness, the dark, black-marketeering, dark, shady, illegal"
お襁褓,おむつ,"diaper, nappy"
気楽,きらく,"at ease, comfortable"
他動詞,たどうし,transitive verb (direct obj)
怠い,だるい,"sluggish, feel heavy, languid, dull"
喫茶,きっさ,"tea drinking, tea house"
休戦,きゅうせん,"truce, armistice"
取っ手,とって,"handle, grip, knob"
出鱈目,でたらめ,"irresponsible utterance, nonsense, nonsensical, random, haphazard, unsystematic"
栽培,さいばい,cultivation
断言,だんげん,"declaration, affirmation"
,ファイト,fight
予想,よそう,"expectation, anticipation, prediction, forecast"
若しかして,もしかして,"perhaps, possibly"
今日は,こんにちは,"hello, good day (daytime greeting id)"
峰,みね,"peak, ridge"
出入り口,でいりぐち,exit and entrance
兼業,けんぎょう,"side line, second business"
動向,どうこう,"trend, tendency, movement, attitude"
免れる,まぬかれる,"to escape from, to be rescued from, to avoid, to evade, to avert, to elude, to be exempted, to be relieved"
整然,せいぜん,"orderly, regular, well-organized, trim, accurate"
目録,もくろく,"catalogue, catalog, list"
雛,ひな,"young bird, chick, doll"
資金,しきん,"funds, capital"
分,ふん,minute
値する,あたいする,"to be worth, to deserve, to merit"
,クラブ,"club, crab"
其れ,それ,"it, that"
転校,てんこう,change schools
,どうやら,"it seems like, somehow or other"
,アルミ,"aluminum (Al), aluminium"
慣らす,ならす,to accustom
紛失,ふんしつ,losing something
責務,せきむ,"duty, obligation"
垂れる,たれる,"to hang, to droop, to drop, to lower, to pull down, to dangle, to sag, to drip, to ooze, to trickle, to leave"
悪戯,いたずら,"tease, prank, trick, practical joke, mischief"
艶,えん,"charming, fascinating, voluptuous"
盗み,ぬすみ,stealing
,レンジ,"range, stove"
彼方此方,あちこち,here and there
会見,かいけん,"interview, audience"
弾む,はずむ,"to spring, to bound, to bounce, to be stimulated, to be encouraged, to get lively, to treat oneself to, to"
志向,しこう,"intention, aim"
入賞,にゅうしょう,winning a prize or place (in a contest)
止める,とどめる,"to stop, to cease, to put an end to"
異動,いどう,a change
与党,よとう,"government party, (ruling) party in power, government"
脆い,もろい,"brittle, fragile, tender-hearted"
提供,ていきょう,"offer, tender, program sponsoring, furnishing"
拒否,きょひ,"denial, veto, rejection, refusal"
曲がる,まがる,"to turn, to bend"
卯,ぼう,fourth sign of Chinese zodiac (The Hare 5am-7am east February)
蝶,ちょう,butterfly
群集,ぐんしゅう,"(social) group, crowd, throng, mob, multitude"
,ばてる,"to be exhausted, to be worn out"
爽やか,さわやか,"fresh, refreshing, invigorating, clear, fluent, eloquent"
視覚,しかく,"sense of sight, vision"
外来,がいらい,"imported, outpatient clinic"
物足りない,ものたりない,"unsatisfied, unsatisfactory"
万,ばん,"many, all"
主食,しゅしょく,staple food
仕舞,しまい,"end, termination, informal (Noh play)"
何時の間にか,いつのまにか,"before one knows, unnoticed, unawares"
願書,がんしょ,written application or petition
流通,りゅうつう,"circulation of money or goods, flow of water or air, distribution"
誠,まこと,"truth, faith, fidelity, sincerity, trust, confidence, reliance, devotion"
元来,がんらい,"originally, primarily, essentially, logically, naturally"
,エレガント,elegant
増進,ぞうしん,"promoting, increase, advance"
保護,ほご,"care, protection, shelter, guardianship, favor, patronage"
志,こころざし,"will, intention, motive"
図々しい,ずうずうしい,"impudent, shameless"
機構,きこう,"mechanism, organization"
融資,ゆうし,"financing, loan"
軍事,ぐんじ,military affairs
彼方此方,あちらこちら,here and there
温和,おんわ,"gentle, mild, moderate"
,カンニング,"cunning, cheat"
挑む,いどむ,"to challenge, to contend for, to make love to"
渦,うず,swirl
官僚,かんりょう,"bureaucrat, bureaucracy"
填める,はめる,"to get in, to insert, to put on, to make love"
一律,いちりつ,"evenness, uniformity, monotony, equality"
色彩,しきさい,"colour, hue, tints"
兼用,けんよう,"multi-use, combined use, combination, serving two purposes"
,チームワーク,teamwork
神殿,しんでん,"temple, sacred place"
ご馳走さま,ごちそうさま,feast
箇条書き,かじょうがき,"itemized form, itemization"
,ソース,source
咎める,とがめる,"to blame, to find fault, to take someone to task, to aggravate (an injury)"
呟く,つぶやく,"to mutter, to murmur"
認める,したためる,to write up
補償,ほしょう,"compensation, reparation"
所定,しょてい,"fixed, prescribed"
付き,つき,"attached to, impression, sociality, appearance, furnished with, under, to"
分業,ぶんぎょう,"division of labor, specialization, assembly-line production"
,さん,Mr or Mrs
有難う,ありがとう,Thank you
動機,どうき,"motive, incentive"
潮,うしお,tide
弱,じゃく,"weakness, the weak, little less then"
不調,ふちょう,"bad condition, not to work out (ie a deal), disagreement, break-off, disorder, slump, out of form"
箇所,かしょ,"passage, place, point, part"
姓名,せいめい,full name
相対,あいたい,"confrontation, facing, between ourselves, no third party, tete-a-tete"
物好き,ものずき,curiosity
各々,それぞれ,"each, every, either, respectively, severally"
,けれど,"but, however"
逃亡,とうぼう,escape
発芽,はつが,burgeoning
割,かつ,"divide, cut, halve, separate, split, rip, break, crack, smash, dilute"
痛切,つうせつ,"keen, acute"
仙,せん,"hermit, wizard"
戦術,せんじゅつ,tactics
破壊,はかい,destruction
苛々,いらいら,"getting nervous, irritation"
体裁,ていさい,"decency, style, form, appearance, show, get-up, format"
不評,ふひょう,"bad reputation, disgrace, unpopularity"
使い道,つかいみち,use
通常,つうじょう,"common, general, usually"
侮辱,ぶじょく,"insult, contempt, slight"
雷,いかずち,thunder
,サイクル,cycle
封鎖,ふうさ,"blockade, freezing (funds)"
区画,くかく,"division, section, compartment, boundary, area, block"
召す,めす,"to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink, to catch (a"
受け付ける,うけつける,"to be accepted, to receive (an application)"
肺,はい,lung
馬鹿馬鹿しい,ばかばかしい,stupid
様式,ようしき,"style, form, pattern"
私,あたし,I (fem)
矢っ張り,やっぱり,"also, as I thought, still, in spite of, absolutely"
始末,しまつ,"management, dealing, settlement, cleaning up afterwards"
徴収,ちょうしゅう,"collection, levy"
街,がい,"~street, ~quarters"
極端,きょくたん,"extreme, extremity"
利点,りてん,"advantage, point in favor"
健やか,すこやか,"vigorous, healthy, sound"
雫,しずく,drop (of water)
押さえる,おさえる,"to stop, to restrain, to seize, to repress, to suppress, to press down"
,あくどい,"1. gaudy, showy, excessive, 2. vicious"
,インフォメーション,information
延べ,のべ,"futures, credit (buying), stretching, total"
茹でる,ゆでる,to boil
合わせ,あわせ,"joint together, opposite, facing"
美味しい,おいしい,"delicious, tasty"
開拓,かいたく,"reclamation (of wasteland), cultivation, pioneer"
本体,ほんたい,"substance, real form, object of worship"
名高い,なだかい,"famous, celebrated, well-known"
夕暮れ,ゆうぐれ,"evening, (evening) twilight"
昆虫,こんちゅう,"insect, bug"
追及,ついきゅう,"gaining on, carrying out, solving (crime)"
閉口,へいこう,shut mouth
相,あい,"together, mutually, fellow"
逃す,のがす,"to let loose, to set free, to let escape"
様相,ようそう,aspect
来る,きたる,"to come, to arrive, to be due to, to be next, to be forthcoming"
纏め,まとめ,"settlement, conclusion"
退ける,しりぞける,"to repel, to drive away"
主人公,しゅじんこう,"protagonist, main character, hero(ine) (of a story), head of household"
受け取り,うけとり,receipt
,ミスプリント,misprint
突っ張る,つっぱる,"to support, to become stiff, to become taut, to thrust (ones opponent), to stick to (ones opinion), to in"
如何して,どうして,"why?, for what reason, how, in what way, for what purpose, what for"
恵み,めぐみ,blessing
世代,せだい,"generation, the world, the age"
会談,かいだん,"conversation, conference, discussion, interview"
滲む,にじむ,"to run, to blur, to spread, to blot, to ooze"
代わる代わる,かわるがわる,alternately
民族,みんぞく,"people, race, nation, racial customs, folk customs"
完璧,かんぺき,"perfection, completeness, flawless"
解く,ほどく,to unfasten
原油,げんゆ,crude oil
慎む,つつしむ,"to be careful, to be chaste or discreet, to abstain or refrain"
,バー,bar
,ガイドブック,guidebook
商,しょう,quotient
無断,むだん,"without permission, without notice"
泌み泌み,しみじみ,"keenly, deeply, heartily"
其れで,それで,"and (conj), thereupon, because of that"
原文,げんぶん,"the text, original"
叶う,かなう,to come true (wish)
冒頭,ぼうとう,"beginning, start, outset"
朽ちる,くちる,to rot
抓る,つねる,to pinch
手掛かり,てがかり,"contact, trail, scent, on hand, hand hold, clue, key"
話し合い,はなしあい,"discussion, conference"
飼育,しいく,"breeding, raising, rearing"
加工,かこう,"manufacturing, processing, treatment"
的,まと,"mark, target"
衆議院,しゅうぎいん,"Lower House, House of Representatives"
番目,ばんめ,cardinal number suffix
中指,ちゅうし,middle finger
敗戦,はいせん,"defeat, losing a war"
然しながら,しかしながら,"nevertheless, however"
,ずばり,"decisively, decidedly, once and for all, unreservedly, frankly"
若しも,もしも,if
今更,いまさら,"now, at this late hour"
物体ない,もったいない,"too good, more than one deserves, wasteful, sacrilegious, unworthy of"
歓声,かんせい,"cheer, shout of joy"
其れ故,それゆえ,"therefore, for that reason, so"
濯ぐ,すすぐ,"to rinse, to wash out"
漠然,ばくぜん,"obscure, vague, equivocal"
戦,いくさ,"war, battle, campaign, fight"
害する,がいする,"to injure, to damage, to harm, to kill, to hinder"
,ハンガー,"hangar, (coat) hanger, hunger"
季刊,きかん,quarterly (e.g. magazine)
向き,むき,"direction, situation, exposure, aspect, suitability"
悪化,あっか,"deterioration, growing worse, aggravation, degeneration, corruption"
花びら,はなびら,(flower) petal
観衆,かんしゅう,"spectators, onlookers, members of the audience"
於いて,おいて,"at, in, on"
特産,とくさん,"specialty, special product"
好評,こうひょう,"popularity, favorable reputation"
厳か,おごそか,"austere, majestic, dignified, stately, awful, impressive"
お産,おさん,(giving) birth
捜索,そうさく,"search (esp. for someone or something missing), investigation"
抑圧,よくあつ,"check, restraint, oppression, suppression"
結び付き,むすびつき,"connection, relation"
沈黙,ちんもく,"silence, reticence"
社交,しゃこう,"social life, social intercourse"
固める,かためる,"to harden, to freeze, to fortify"
細菌,さいきん,"bacillus, bacterium, germ"
手筈,てはず,"arrangement, plan, programme"
共働き,ともばたらき,dual income
鋸,のこぎり,saw
,レンタカー,hire car (lit: rent-a-car)
厭々,いやいや,"unwillingly, grudgingly, shaking head in refusal (to children)"
暦,こよみ,"calendar, almanac"
株式,かぶしき,stock (company)
下吏,かり,lower official
他方,たほう,"another side, different direction, (on) the other hand"
大人しい,おとなしい,"obedient, docile, quiet"
その内,そのうち,"eventually, sooner or later, of the previously mentioned"
,ガイド,tour guide
苦しめる,くるしめる,"to torment, to harass, to inflict pain"
契機,けいき,"opportunity, chance"
長大,ちょうだい,"very long, great length"
門,かど,gate
理論,りろん,theory
諦め,あきらめ,"resignation, acceptance, consolation"
悲観,ひかん,"pessimism, disappointment"
,チャイム,chime
歯磨,はみがき,"dentifrice, toothpaste"
緩和,かんわ,"relief, mitigation"
効き目,ききめ,"effect, virtue, efficacy, impression"
名残,なごり,"remains, traces, memory"
答え,こたえ,"answer, response"
新興,しんこう,"rising, developing, emergent"
争い,あらそい,"dispute, strife, quarrel, dissension, conflict, rivalry, contest"
躾,しつけ,"home discipline, training, upbringing, breeding"
衣装,いしょう,"clothing, costume, outfit, garment, dress"
強める,つよめる,"to strengthen, to emphasize"
,ドリル,drill
一部分,いちぶぶん,a part
築く,きずく,"to build, to pile up, to amass"
特許,とっきょ,"special permission, patent"
支持,しじ,"support, maintenance"
制約,せいやく,"limitation, restriction, condition, constraints"
満たす,みたす,"to satisfy, to ingratiate, to fill, to fulfill"
剥げる,はげる,"to come off, to be worn off, to fade, to discolor"
,すんなり,"pass with no objection, slim, slender"
成るべく,なるべく,as much as possible
聳える,そびえる,"to rise, to tower, to soar"
要望,ようぼう,"demand for, request"
旦那,だんな,"master (of house), husband (informal)"
煙草,たばこ,"(pt:) (n) (uk) tobacco (pt: tabaco), cigarettes"
