Kanji,Hiragana,English
電話,でんわ,telephone
入口,いりぐち,entrance
色,いろ,colour
,いつ,when
三つ,みっつ,three
,やる,to do
今晩,こんばん,this evening
さ来年,さらいねん,year after next
二十歳,はたち,"20 years old,20th year"
入る,はいる,"to enter,to contain"
,おいしい,delicious
,どうぞ,please
熱い,あつい,hot to the touch
黒い,くろい,black
,はく,"to wear,to put on trousers"
静か,しずか,Quiet
泳ぐ,およぐ,to swim
,ちゃわん,rice bowl
,どうして,for what reason
辛い,からい,Spicy
練習,れんしゅうする,to practice
牛乳,ぎゅうにゅう,Milk
歌う,うたう,to sing
,でも,but
一昨年,おととし,year before last
箱,はこ,box
同じ,おなじ,same
困る,こまる,to be worried
封筒,ふうとう,envelope
,はい,yes
,あの,that over there
歌,うた,song
,あちら,there
,どこ,where
大好き,だいすき,to be very likeable
,スプーン,Spoon
お母さん,おかあさん,(honorable) mother
誰,だれ,who
,カメラ,camera
七つ,ななつ,seven
方,かた,"person, way of doing"
先生,せんせい,"teacher, doctor"
新聞,しんぶん,newspaper
,どなた,who
靴,くつ,Shoes
玄関,げんかん,entry hall
お父さん,おとうさん,(honorable) father
,フォーク,fork
午後,ごご,afternoon
走る,はしる,to run
,この,This
黄色い,きいろい,yellow
お手洗い,おてあらい,bathroom
今週,こんしゅう,this week
物,もの,thing
弾く,ひく,"to play an instrument with strings, including piano"
図書館,としょかん,library
外国人,がいこくじん,Foreigner
時々,ときどき,sometimes
冬,ふゆ,winter
,ホテル,hotel
洗濯,せんたく,Washing
早い,はやい,early
,かばん,"bag, basket"
楽しい,たのしい,enjoyable
音楽,おんがく,Music
長い,ながい,long
,より、ほう,Used for comparison.
,テレビ,television
鼻,はな,nose
六つ,むっつ,six
曲る,まがる,"to turn,to bend"
花,はな,flower
犬,いぬ,dog
着く,つく,to arrive at
,その,That
橋,はし,bridge
階段,かいだん,Stairs
来週,らいしゅう,next week
大丈夫,だいじょうぶ,all right
取る,とる,to take something
警官,けいかん,policeman
大学,だいがく,university
晩,ばん,evening
,エレベーター,elevator
居る,いる,"to be, to have (used for people and animals)"
家,いえ,house
,たて,"length,height"
遅い,おそい,"late, slow"
猫,ねこ,cat
帰る,かえる,to go back
今,いま,now
待つ,まつ,to wait
,グラム,Gram
意味,いみ,meaning
全部,ぜんぶ,All
電車,でんしゃ,electric train
,かわいい,Cute
,きれい,"pretty, clean"
買い物,かいもの,Shopping
大きい,おおきい,big
緑,みどり,green
,ラジカセ / ラジオカセット,radio cassette player
買う,かう,to buy
生まれる,うまれる,to be born
足,あし,"foot, leg"
零,れい,zero
,りっぱ,splendid
,ペット,pet
暗い,くらい,Gloomy
奥さん,おくさん,(honorable) wife
黄色,きいろ,yellow
乗る,のる,"to get on,to ride"
今月,こんげつ,this month
高い,たかい,"tall, expensive"
開く,あく,"to open, to become open"
財布,さいふ,Wallet
押す,おす,"to push, to stamp something"
軽い,かるい,Light
医者,いしゃ,medical doctor
下手,へた,unskillful
赤い,あかい,red
,こちら,this person or way
,ここ,Here
短い,みじかい,short
家庭,かてい,Household
,そっち,over there
,だんだん,gradually
後ろ,うしろ,behind
安い,やすい,cheap
,ゆっくりと,slowly
妹,いもうと,(humble) younger sister
頼む,たのむ,to ask
料理,りょうり,cuisine
,スポーツ,Sport
食べる,たべる,to eat
賑やか,にぎやか,"bustling,busy"
,また,"again,and"
背広,せびろ,business suit
,クラス,Class
,ゼロ,Zero
上手,じょうず,Skillful
,ページ,page
国,くに,Country
手紙,てがみ,letter
,タクシー,taxi
茶色,ちゃいろ,brown
飲む,のむ,to drink
上げる,あげる,to give
傘,かさ,Umbrella
所,ところ,place
銀行,ぎんこう,Bank
,どっち,which
手,て,hand
,いいえ,no
,いつも,always
六,ろく,six
夕方,ゆうがた,evening
若い,わかい,young
明い,あかるい,bright
吹く,ふく,to blow
,こんな,Such
,ほか,"other, the rest"
夕飯,ゆうはん,dinner
,どの,which
百,ひゃく,hundred
,キロ/キログラム,Kilogram
,できる,to be able to
遠い,とおい,far
薬,くすり,medicine
,コーヒー,Coffee
出かける,でかける,to go out
天気,てんき,weather
自転車,じてんしゃ,Bicycle
,ボールペン,ball-point pen
,レストラン,restaurant
撮る,とる,to take a photo or record a film
消す,けす,"to erase, to turn off power"
,マッチ,match
明日,あした,tomorrow
嫌,いや,unpleasant
嫌い,きらい,Hate
来る,くる,to come
留学生,りゅうがくせい,overseas student
,シャツ,Shirt
借りる,かりる,to borrow
散歩,さんぽする,to stroll
結婚,けっこん,Marriage
夏休み,なつやすみ,summer holiday
病院,びょういん,hospital
,トイレ,toilet
果物,くだもの,Fruit
私,わたくし,"(humble) I,myself"
一昨日,おととい,day before yesterday
,いす,chair
初め/始め,はじめ,beginning
,これ,This
,キロ/キロメートル,Kilometer
,そば,"near, beside"
木曜日,もくようび,Thursday
黒,くろ,Black
海,うみ,sea
お酒,おさけ,"alcohol, rice wine"
,シャワー,Shower
昼,ひる,"noon, daytime"
,どれ,which (of three or more)
小さな,ちいさな,little
作る,つくる,to make
三,さん,Three
もう一度,もういちど,again
差す,さす,"to stretch out hands, to raise an umbrella"
耳,みみ,ear
消える,きえる,to disappear
建物,たてもの,building
出す,だす,to put out
四日,よっか,"four days, fouth day of the month"
窓,まど,window
,しょうゆ,soy sauce
七日,なのか,"seven days,the seventh day"
立つ,たつ,to stand
,テーブル,table
本,ほん,book
,カレー,Curry
砂糖,さとう,Sugar
塩,しお,Salt
,いろいろ,various
見せる,みせる,to show
,スカート,Skirt
見る 観る,みる,"to see, to watch"
毎朝,まいあさ,every morning
知る,しる,to know
強い,つよい,powerful
郵便局,ゆうびんきょく,post office
寝る,ねる,"to go to bed,to sleep"
今日,きょう,Today
伯母さん/叔母さん,おばさん,Aunt
毎日,まいにち,every day
金曜日,きんようび,Friday
,ハンカチ,handkerchief
,あれ,that
伯父/叔父,おじいさん,"grandfather, male senior citizen"
八百屋,やおや,greengrocer
土曜日,どようび,Saturday
,はし,chopsticks
町,まち,"town,city"
体,からだ,Body
降りる,おりる,"to get off, to descend"
,とても,very
元気,げんき,"health, vitality"
夜,よる,"evening,night"
並ぶ,ならぶ,"to line up,to stand in a line"
牛肉,ぎゅうにく,Beef
とり肉,とりにく,chicken meat
,レコード,record
月曜日,げつようび,Monday
左,ひだり,left hand side
切る,きる,to cut
習う,ならう,to learn
皆さん,みなさん,everyone
角,かど,a corner
十,じゅう とお,Ten
遊ぶ,あそぶ,"to play, to make a visit"
去年,きょねん,last year
先,さき,"the future, previous"
休む,やすむ,to rest
,ラジオ,radio
年,とし,year
,いかが,how
渡る,わたる,to go across
涼しい,すずしい,Refreshing
,おまわりさん,friendly term for policeman
頭,あたま,head
,おばあさん,"grandmother, female senior-citizen"
男,おとこ,Man
,アパート,apartment
大切,たいせつ,important
教える,おしえる,"to teach, to tell"
始まる,はじまる,to begin
白,しろ,White
九,きゅう / く,Nine
下,した,Below
痛い,いたい,painful
部屋,へや,room
水曜日,すいようび,Wednesday
秋,あき,autumn
厚い,あつい,"kind, deep, thick"
少し,すこし,Few
,など,et cetera
野菜,やさい,vegetable
何,なん/なに,what
,さあ,well…
,よく,"often, well"
花瓶,かびん,a vase
貼る,はる,to stick
,では,with that...
お風呂,おふろ,Bath
疲れる,つかれる,to get tired
悪い,わるい,bad
紙,かみ,paper
,おもしろい,Interesting
紅茶,こうちゃ,black tea
風邪,かぜ,a cold
眼鏡,めがね,glasses
,そこ,that place
好き,すき,Likeable
男の子,おとこのこ,Boy
忙しい,いそがしい,"busy, irritated"
売る,うる,to sell
要る,いる,to need
豚肉,ぶたにく,pork
,コピーする,to copy
歩く,あるく,to walk
お茶,おちゃ,green tea
荷物,にもつ,luggage
返す,かえす,to return something
脱ぐ,ぬぐ,to take off clothes
廊下,ろうか,corridor
鉛筆,えんぴつ,pencil
公園,こうえん,Park
五,ご,Five
六日,むいか,"six days, sixth day of the month"
,ちょっと,somewhat
映画,えいが,movie
お姉さん,おねえさん,(honorable) older sister
机,つくえ,desk
,それでは,in that situation
,デパート,department store
絵,え,picture
暖かい,あたたかい,warm
,バター,butter
締める,しめる,to tie
休み,やすみ,"rest,holiday"
甘い,あまい,sweet
台所,だいどころ,kitchen
多い,おおい,many
曇る,くもる,"to become cloudy, to become dim"
半分,はんぶん,half minute
本棚,ほんだな,bookshelves
五つ,いつつ,five
,まずい,unpleasant
,ある,"to be,to have (used for inanimate objects)"
新しい,あたらしい,new
,いくつ,"how many?,how old?"
雑誌,ざっし,Magazine
,あなた,you
番号,ばんごう,number
千,せん,Thousand
昨夜,ゆうべ,last night
九日,ここのか,"nine days, ninth day"
動物,どうぶつ,animal
,コート,"coat, tennis court"
,する,to do
兄弟,きょうだい,(humble) siblings
北,きた,North
問題,もんだい,problem
,ベッド,bed
弱い,よわい,weak
,いちばん,"best, first"
分かる,わかる,to be understood
住む,すむ,to live in
仕事,しごと,Job
兄,あに,(humble) older brother
重い,おもい,Heavy
,つまらない,boring
来月,らいげつ,next month
,それ,that
お菓子,おかし,"sweets, candy"
使う,つかう,to use
一,いち,one
,あの,um...
丸い/円い,まるい,"round,circular"
危ない,あぶない,dangerous
口,くち,"mouth, opening"
答える,こたえる,to answer
万年筆,まんねんひつ,fountain pen
辺,へん,area
今年,ことし,this year
十日,とおか,"ten days,the tenth day"
,コップ,a glass
毎週,まいしゅう,every week
赤,あか,red
,たくさん,many
お皿,おさら,"plate, dish"
大勢,おおぜい,great number of people
鳴く,なく,"animal noise. to chirp, roar or croak etc."
死ぬ,しぬ,to die
一日,いちにち,first of the month
先月,せんげつ,last month
交番,こうばん,police box
,カレンダー,calendar
初めて,はじめて,for the first time
山,やま,mountain
車,くるま,"car, vehicle"
,ポスト,post
吸う,すう,"to smoke, to suck"
病気,びょうき,illness
お弁当,おべんとう,boxed lunch
聞く,きく,"to hear, to listen to, to ask"
,ポケット,pocket
七,しち / なな,Seven
右,みぎ,right side
弟,おとうと,younger brother
歯,は,tooth
,たぶん,probably
,まっすぐ,"straight ahead,direct"
飛行機,ひこうき,aeroplane
南,みなみ,south
,いくら,how much?
,ください,Please
行く,いく,to go
川/河,かわ,River
薄い,うすい,"thin,weak"
登る,のぼる,to climb
結構,けっこう,"splendid, enough"
教室,きょうしつ,Classroom
小さい,ちいさい,little
辞書,じしょ,Dictionary
子供,こども,Child
,たばこ,"tobacco,cigarettes"
会社,かいしゃ,Company
晴れる,はれる,to be sunny
肉,にく,meat
汚い,きたない,Dirty
忘れる,わすれる,to forget
難しい,むずかしい,difficult
引く,ひく,to pull
外,そと,Outside
両親,りょうしん,both parents
背,せ,"height, stature"
勤める,つとめる,to work for someone
服,ふく,clothes
二十日,はつか,"twenty days,twentieth"
寒い,さむい,Cold
字引,じびき,Dictionary
雨,あめ,rain
晩御飯,ばんごはん,evening meal
話す,はなす,to speak
,ふろ,bath
生徒,せいと,Pupil
雪,ゆき,snow
伯父/叔父,おじさん,"uncle, middle aged gentleman"
靴下,くつした,Socks
勉強,べんきょうする,to study
旅行,りょこう,travel
,すぐに,Instantly
並べる,ならべる,"to line up,to set up"
家族,かぞく,Family
隣,となり,next door to
,せっけん,Economy
止まる,とまる,to come to a halt
便利,べんり,"useful, convenient"
冷蔵庫,れいぞうこ,refrigerator
向こう,むこう,over there
,そちら,over there
質問,しつもん,Question
易しい,やさしい,"easy, simple"
呼ぶ,よぶ,"to call out,to invite"
速い,はやい,quick
,パン,bread
上,うえ,on top of
八つ,やっつ,eight
二,に,two
,ボタン,button
,おなか,stomach
